,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[168.785, 1.0, 153.635, 3.0, 155.529, 3.0, 166.891, 3.0]",39.60515169281009,35.201066894115215,38.242211174188405,37.239382935279224,36.224689616238514,35.77124700888547,38.566887781042,34.39507451517867,47.04687229311018,32.8356435586969,31.993456136041754,31.477310139972076,27.864719277025735,33.60270882289165,32.640947139200684,32.258148468526684
"[168.785, 1.0, 153.635, 5.0, 155.529, 3.0, 166.891, 3.0]",31.33365555468585,30.330715871816633,31.163385015682884,33.12447868178408,31.52310427416235,30.999983527913827,30.990083052427654,32.26155390500437,27.348718000893108,27.49821578912334,28.29231276050381,28.30239730911549,47.51635247636809,28.60739062812163,25.57055685614772,26.368543852528564
"[168.785, 5.0, 153.635, 1.0, 155.529, 3.0, 166.891, 5.0]",26.09702248459347,28.831819785758082,21.808264593234302,27.597922311467606,23.491807625102336,23.517907439622963,25.722216575545218,21.50102006756302,27.833153106740763,29.349651858919422,20.07350788141808,26.43368273121039,25.69843242627497,20.4054587507304,26.273175858459517,47.371380373014304
"[168.785, 3.0, 153.635, 3.0, 155.529, 3.0, 166.891, 1.0]",33.643524936739176,31.934001719554676,36.05732684710324,30.15571564767979,37.162856676181455,29.499635067373205,36.65568394996391,33.7269422719651,52.72484740291031,30.61953628655042,38.84068832914831,30.9389486710292,34.528416281370866,31.622292754890456,37.46515362757688,33.58496403536927
"[168.785, 3.0, 153.635, 3.0, 155.529, 5.0, 166.891, 5.0]",32.14968775300715,30.928359563500027,31.46733401164678,32.70345480157706,33.815642445478765,53.20131247369407,29.19515292875691,28.718055533762442,30.1204491239397,30.789498782337,31.39415868237099,28.69445727208994,29.73295910147096,28.76787722163658,31.102363930779532,28.037462552373206
"[168.785, 5.0, 153.635, 3.0, 155.529, 1.0, 166.891, 1.0]",25.721290453825493,22.140659714578746,22.140955371171582,24.957411809266958,28.854468230799235,25.739886021323777,22.677258541407966,23.983943613035127,24.10053484087396,22.251954435759426,21.128180448867806,47.16638568044377,24.535594724406483,19.723383774847374,23.550883955115268,23.18469912874212
"[168.785, 1.0, 153.635, 5.0, 155.529, 3.0, 166.891, 1.0]",25.739063290568406,19.40509303309517,26.934872420920943,22.07343564280922,24.84926828424192,46.928753431348326,23.786619753160732,22.605234506309507,21.204080630445638,17.88432321891917,21.370596189620397,21.756363174688218,20.284822286692805,24.448918184240448,22.308329824817875,20.368333029139176
"[168.785, 5.0, 153.635, 3.0, 155.529, 3.0, 166.891, 3.0]",35.838140129762664,54.5999184610159,39.08014956588154,36.54911221450866,32.57129884176715,33.77899024927941,39.33380051801953,38.08451701536785,36.02235827490242,36.504946050183214,35.95710357577418,38.068090424067314,34.08489695467944,35.40181277011557,34.87904084165432,36.560014175579184
"[168.785, 5.0, 153.635, 1.0, 155.529, 3.0, 166.891, 1.0]",27.056445141327888,20.61925586620126,18.76080851250807,19.915389252771075,20.179608475195145,22.09383956209807,47.897110765436,21.34412008319552,26.84507104623534,22.895594907805688,26.805372087623947,22.499369783400603,22.39096185924152,21.256376355389833,24.37168435406778,17.12651069005476
"[168.785, 5.0, 153.635, 3.0, 155.529, 3.0, 166.891, 1.0]",33.08699003722689,29.258373297672627,32.34025279615023,25.781574899078237,26.145313978094055,23.80356668143674,30.16295511998455,26.054711838081435,29.96486028703186,25.78993299886423,53.271544879601564,22.976221472790915,31.6911602081567,27.05771924935449,33.190240659584326,27.446613538577903
"[168.785, 5.0, 153.635, 5.0, 155.529, 1.0, 166.891, 3.0]",23.344320464454327,23.605401720220847,46.95284310702956,19.805027784251134,22.223978850887367,29.22460658045523,21.564563405693846,22.58511192700556,26.958120329341103,23.35646285685805,20.855645517372306,20.69889623450347,27.019803372830292,26.521978807579885,21.201825777119875,21.520117314909736
"[168.785, 3.0, 153.635, 3.0, 155.529, 5.0, 166.891, 3.0]",34.939027018918516,35.26865738029348,36.78703317328066,38.62208485706191,37.32202622902283,38.45652103632805,37.257899492466905,37.499096102046146,36.034163506476375,53.832434933733964,36.91873500199574,35.0158339639622,30.27893972119376,39.53045271635779,35.911066027480715,39.18827060914354
"[168.785, 1.0, 153.635, 3.0, 155.529, 5.0, 166.891, 5.0]",26.84788957790819,29.594927096481662,24.200097600915832,28.42801208884972,20.789254974853613,24.513356730495527,24.329899731913365,24.97680142266679,20.65401071545927,27.316411740093034,22.264955729263992,21.039215236057203,21.48584354113052,48.64875826448606,24.372653174768818,26.277652272957994
"[168.785, 3.0, 153.635, 1.0, 155.529, 5.0, 166.891, 5.0]",25.478612901766578,24.902105879975096,23.81255797397053,24.33286041819893,25.04319997796231,20.915036640109935,21.395415177317627,23.20538529292092,22.856800721123047,53.256475940033944,25.293264063482155,22.696681268933883,22.46053129479658,25.026298046515493,23.44011647366111,25.269690863468103
"[168.785, 5.0, 153.635, 3.0, 155.529, 3.0, 166.891, 5.0]",30.708676942031882,31.363746019242946,32.08713313861884,31.33850561783426,28.29861973631366,29.803463089822156,30.276311445956487,31.28935123425965,32.242054598081495,30.50708204862037,53.459029677082626,32.18699892092714,32.83879284073246,34.04955092830853,30.207110863349065,30.696889608212043
"[168.785, 5.0, 153.635, 5.0, 155.529, 1.0, 166.891, 5.0]",18.22138046398744,21.805263831627567,19.32966454801642,16.984657778143706,22.561618524132687,22.734572877851495,20.492971665813734,19.484757592785492,17.323405958614565,22.584368012425358,47.161169520752544,20.548115824134882,16.632728872834814,17.488453750537065,13.179398664204674,19.279341055369834
"[0.0, 5.0, 0.0, 5.0, 0.0, 1.0, 0.0, 5.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 3.0, 153.635, 5.0, 155.529, 5.0, 166.891, 5.0]",28.102927082117358,52.860201564454755,27.009485169410542,21.69711437032782,23.76921200087121,26.308000610475236,25.31305499936886,24.740747716594036,23.181884582390072,21.86203565818902,24.085889275247066,26.601098753782804,25.78072589065703,23.830098496106825,24.462818765533367,23.970233090484268
